Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2015,11,Fifty Shades of Grey,"$570,983,010","$166,167,230",29.1%,"$403,484,237",70.7%
2015,12,Cinderella,"$559,333,601","$201,151,353",36%,"$341,200,000",61%
2015,13,The Revenant,"$532,950,503","$183,637,894",34.5%,"$349,312,609",65.5%
2015,14,Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3%
2015,15,Hotel Transylvania 2,"$474,800,000","$169,700,110",35.7%,"$305,099,890",64.3%
2015,16,San Andreas,"$474,590,832","$155,190,832",32.7%,"$319,400,000",67.3%
2015,17,Terminator Genisys,"$440,942,779","$89,760,956",20.4%,"$350,842,581",79.6%
2015,18,Kingsman: The Secret Service,"$415,155,224","$128,261,724",30.9%,"$286,089,822",68.9%
2015,19,Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%
2015,20,Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%
2015,21,Mad Max: Fury Road,"$379,436,354","$153,636,354",40.5%,"$225,800,000",59.5%
2015,22,Pitch Perfect 2,"$334,810,975","$184,296,230",55%,"$102,847,849",30.7%
2015,23,The Good Dinosaur,"$332,207,671","$123,087,120",37.1%,"$209,120,551",62.9%
2015,24,The Divergent Series: Insurgent,"$327,228,930","$130,179,072",39.8%,"$166,823,455",51%
2015,25,Taken 3,"$326,479,141","$89,256,424",27.3%,"$237,222,717",72.7%
2015,26,The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.1%,"$162,192,000",49.9%
2015,27,Maze Runner: The Scorch Trials,"$312,721,283","$81,697,192",26.1%,"$230,598,864",73.7%
2015,28,Tomorrowland,"$297,754,116","$93,436,322",31.4%,"$115,599,346",38.8%
2015,29,Mojin: The Lost Legend,"$259,368,448","$1,243,810",0.5%,"$258,124,638",99.5%
2015,30,Lost in Hong Kong,"$256,283,912","$1,302,281",0.5%,"$254,981,631",99.5%
2015,31,The Peanuts Movie,"$246,233,113","$130,178,411",52.9%,"$116,054,702",47.1%
2015,32,Pixels,"$244,874,809","$78,747,585",32.2%,"$166,127,224",67.8%
2015,33,Daddy's Home,"$242,793,279","$150,357,137",61.9%,"$92,429,000",38.1%
2015,34,Spy,"$235,666,219","$110,825,712",47%,"$124,840,507",53%
2015,35,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.6%,"$148,911,649",63.4%
2015,36,Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.6%,"$226,829,302",99.4%
2015,37,Ted 2,"$217,294,137","$81,476,385",37.5%,"$134,387,221",61.8%
2015,38,Everest,"$203,427,584","$43,482,270",21.4%,"$159,945,314",78.6%
2015,39,Straight Outta Compton,"$201,634,991","$161,197,785",79.9%,"$40,437,206",20.1%
2015,40,The Intern,"$194,764,672","$75,764,672",38.9%,"$119,000,000",61.1%
2015,41,Jian Bing Man,"$186,683,536",-,-,"$186,683,536",100%
2015,42,Jupiter Ascending,"$184,287,723","$47,387,723",25.7%,"$136,900,000",74.3%
2015,43,Creed,"$174,167,581","$109,767,581",63%,"$64,400,000",37%
